DISEASE	MED_CODE	BETA_COEF	BETA_SE	P_VAL	N_cases	N_controls	MED_FREQ_ALL	MED_FREQ_CASES	MED_FREQ_CONTROLS	coding	meaning	col_name	adjusted_P_VAL	Memo	Circular	ACB	Gene_Drug_CPIC	Metabolism_Inhibitor
PD	meds_1141162764	1.353254054	0.370386996	0.000258567	2087	8348	0.003275434	0.010422698	0.001796838	1141162764	tolterodine l-tartrate	meds_1141162764	0.01817356	OVeractive bladder		3	CYP2D6	
PD	meds_1141162824	1.344260854	0.406015066	0.000930082	2087	8348	0.002878412	0.008106543	0.001796838	1141162824	detrusitol 1mg tablet	meds_1141162824	0.049322608	Overactive bladder		3		CYP2D6
PD	meds_1141164060	5.424590021	0.594372846	7.07E-20	2087	8348	0.012009926	0.068326578	0.000359368	1141164060	pramipexole	meds_1141164060	8.45E-17	PD drug	1	0		"CYP2D6,CYP3A"
PD	meds_1141168936	1.752948365	0.335529245	1.75E-07	2087	8348	0.004466501	0.016792125	0.001916627	1141168936	sildenafil	meds_1141168936	3.32E-05	Erectile dysfunction		0		"CYP2D6,CYP1A2"
PD	meds_1141177526	1.23400842	0.345044425	0.000348391	2087	8348	0.003771712	0.011001737	0.002275994	1141177526	esomeprazole	meds_1141177526	0.022944438	PPI		0		
PD	meds_1141180212	2.365174165	0.589471618	6.01E-05	2087	8348	0.001588089	0.005790388	0.000718735	1141180212	escitalopram	meds_1141180212	0.005362307	Benzodiazepines		0		
PD	meds_1141188146	1.928446893	0.582547272	0.000931728	2087	8348	0.001389578	0.005211349	0.000598946	1141188146	simvador 10mg tablet	meds_1141188146	0.049322608	Statin		0		
PD	meds_1141200384	2.533460344	0.595243298	2.08E-05	2087	8348	0.001687345	0.007527504	0.000479157	1141200384	vesicare 5mg tablet(solifenacin)	meds_1141200384	0.002258854	Overactive bladder		3		"CYP2D6,CYP3A"
PD	meds_2038460150	0.290281843	0.070547157	3.88E-05	2087	8348	0.191166253	0.210770122	0.187110685	2038460150	paracetamol(acetaminophen)	meds_2038460150	0.003844057	Pain		0		"CYP2D6,CYP1A2"
MG	meds_1140864752	1.117650308	0.276393938	5.26E-05	325	1300	0.039692702	0.095419847	0.028461538	1140864752	lansoprazole	meds_1140864752	0.00494485	PPI		0		
MG	meds_1140865634	1.210768475	0.197472368	8.71E-10	325	1300	0.085787452	0.198473282	0.063076923	1140865634	omeprazole	meds_1140865634	3.17E-07	PPI		0		
MG	meds_1140869930	5.412621934	1.01864472	1.08E-07	325	1300	0.02496799	0.145038168	0.000769231	1140869930	azathioprine	meds_1140869930	2.19E-05	Immune supressor		1	"NUDT15,TPMT"	
MG	meds_1140874930	3.738581298	0.355974352	8.42E-26	325	1300	0.045454545	0.232824427	0.007692308	1140874930	prednisolone	meds_1140874930	1.76E-22	Steroid		1		
MG	meds_1140883480	3.571101935	1.070731887	0.000852389	325	1300	0.005761844	0.030534351	0.000769231	1140883480	propantheline	meds_1140883480	0.047200223	Overactive bladder		3		"CYP2D6,CYP1A2"
MG	meds_1140922174	2.121063249	0.287921905	1.75E-13	325	1300	0.036491677	0.133587786	0.016923077	1140922174	alendronate sodium	meds_1140922174	1.33E-10	Osteoporosis		0		
MG	meds_1141164828	1.64425389	0.409857405	6.03E-05	325	1300	0.016645327	0.049618321	0.01	1141164828	adcal-d3 1.5g/10micrograms chewable tablet	meds_1141164828	0.005362307	Osteoporosis		0		
